Ausgabedatei Z88O3.TXT : Spannungen, erzeugt mit Z88R V15OS
                         **********

bei isoparametrischen Elementen Berechnung der Spannungen in den Gausspunkten
3 Punkte pro Achse/Element
Berechnung der Vergleichsspannungen nach Gestaltsaenderungsenergie-Hypothese fuer Elemente 3 + 6  
sowie fuer Gausspunkte der Elemente 1,7,8,10,11,12,14 bis 24

Element # = 1     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +6.55E+01  +4.69E+01  +5.347E+01  -5.632E+01  +5.165E+00  +9.551E+01
  +6.81E+01  +4.59E+01  +4.309E+01  -6.454E+01  +4.957E-01  +9.383E+01

Element # = 23     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.71E+01  +5.49E+01  +5.707E+01  +8.257E+01  +1.943E+01  +8.060E+01
  +5.96E+01  +5.46E+01  +6.572E+01  +3.157E+01  +1.937E+01  +6.608E+01
  +6.21E+01  +5.43E+01  +7.800E+01  -6.469E+00  +2.040E+01  +8.876E+01
  +5.69E+01  +5.24E+01  +6.592E+01  +8.532E+01  +3.153E+01  +9.478E+01
  +5.94E+01  +5.19E+01  +6.988E+01  +3.049E+01  +2.497E+01  +7.452E+01
  +6.19E+01  +5.13E+01  +7.819E+01  -1.033E+01  +2.057E+01  +9.109E+01
  +5.67E+01  +4.99E+01  +7.748E+01  +8.446E+01  +4.445E+01  +1.119E+02
  +5.91E+01  +4.91E+01  +7.545E+01  +2.706E+01  +3.135E+01  +8.563E+01
  +6.16E+01  +4.83E+01  +7.860E+01  -1.577E+01  +2.148E+01  +9.513E+01

Element # = 24     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.07E+01  +5.58E+01  +6.875E+00  +2.379E+02  -7.135E+00  +2.349E+02
  +5.31E+01  +5.55E+01  +2.935E+01  +1.787E+02  +6.601E+00  +1.664E+02
  +5.56E+01  +5.51E+01  +4.960E+01  +1.181E+02  +1.675E+01  +1.067E+02
  +5.07E+01  +5.39E+01  +8.502E+00  +2.534E+02  +1.291E+01  +2.502E+02
  +5.31E+01  +5.33E+01  +3.256E+01  +1.874E+02  +2.361E+01  +1.781E+02
  +5.55E+01  +5.28E+01  +5.448E+01  +1.218E+02  +3.168E+01  +1.191E+02
  +5.05E+01  +5.20E+01  +1.659E+01  +2.631E+02  +3.471E+01  +2.622E+02
  +5.29E+01  +5.12E+01  +3.972E+01  +1.907E+02  +4.174E+01  +1.887E+02
  +5.53E+01  +5.04E+01  +6.135E+01  +1.209E+02  +4.734E+01  +1.330E+02

Element # = 25     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +6.42E+01  +6.21E+01  +2.807E+01  -3.870E+01  +1.200E+01  +6.168E+01
  +6.70E+01  +6.25E+01  +1.534E+01  -6.022E+01  +1.227E+01  +7.237E+01
  +6.98E+01  +6.28E+01  +7.204E+00  -6.818E+01  +1.145E+01  +7.473E+01
  +6.40E+01  +5.90E+01  +6.779E+01  -2.905E+01  +1.106E+01  +8.817E+01
  +6.67E+01  +5.91E+01  +5.892E+01  -5.531E+01  +1.411E+01  +1.019E+02
  +6.94E+01  +5.91E+01  +5.483E+01  -6.615E+01  +1.515E+01  +1.082E+02
  +6.38E+01  +5.59E+01  +7.110E+01  -3.185E+01  +1.444E+01  +9.466E+01
  +6.64E+01  +5.57E+01  +7.177E+01  -6.043E+01  +1.940E+01  +1.195E+02
  +6.91E+01  +5.55E+01  +7.667E+01  -7.229E+01  +2.159E+01  +1.343E+02

Element # = 26     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
  +5.71E+01  +6.14E+01  +4.555E+01  +6.423E+01  -1.985E-01  +5.723E+01
  +5.98E+01  +6.17E+01  +3.795E+01  +1.888E+01  +7.519E+00  +3.536E+01
  +6.26E+01  +6.20E+01  +3.314E+01  -1.970E+01  +1.224E+01  +5.088E+01
  +5.72E+01  +5.89E+01  +5.127E+01  +7.507E+01  +4.131E+00  +6.684E+01
  +5.98E+01  +5.89E+01  +5.107E+01  +2.695E+01  +9.604E+00  +4.727E+01
  +6.25E+01  +5.90E+01  +5.323E+01  -1.315E+01  +1.221E+01  +6.445E+01
  +5.71E+01  +5.64E+01  +5.450E+01  +8.198E+01  +1.105E+01  +7.476E+01
  +5.97E+01  +5.62E+01  +6.182E+01  +3.199E+01  +1.364E+01  +5.853E+01
  +6.23E+01  +5.60E+01  +7.094E+01  -8.926E+00  +1.369E+01  +7.942E+01

Element # = 27     Typ = 8-K Scheibe
 XX         YY         SIGXX       SIGYY       TAUXY       SIGV
